Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;17 Rioja, La;General;Índice;2017T1;103,177
Nacional;18 Ceuta;General;Índice;2019T4;131,854
Nacional;18 Ceuta;General;Índice;2019T3;133,637
Nacional;18 Ceuta;General;Índice;2019T2;130,592
Nacional;18 Ceuta;General;Índice;2019T1;128,575
Nacional;18 Ceuta;General;Índice;2018T4;125,311
Nacional;18 Ceuta;General;Índice;2018T3;122,940
Nacional;18 Ceuta;General;Índice;2018T2;121,003
Nacional;18 Ceuta;General;Índice;2018T1;117,811
Nacional;18 Ceuta;General;Índice;2017T4;114,842
Nacional;18 Ceuta;General;Índice;2017T3;112,918
Nacional;18 Ceuta;General;Índice;2017T2;111,457
Nacional;18 Ceuta;General;Índice;2017T1;109,787
Nacional;19 Melilla;General;Índice;2019T4;126,218
Nacional;19 Melilla;General;Índice;2019T3;127,460
Nacional;19 Melilla;General;Índice;2019T2;124,154
Nacional;19 Melilla;General;Índice;2019T1;125,310
Nacional;19 Melilla;General;Índice;2018T4;122,196
Nacional;19 Melilla;General;Índice;2018T3;120,965
Nacional;19 Melilla;General;Índice;2018T2;119,341
Nacional;19 Melilla;General;Índice;2018T1;115,546
Nacional;19 Melilla;General;Índice;2017T4;113,620
Nacional;19 Melilla;General;Índice;2017T3;110,681
Nacional;19 Melilla;General;Índice;2017T2;110,490
Nacional;19 Melilla;General;Índice;2017T1;108,707
