Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;13 Madrid, Comunidad de;Total;2018T1;3.405,1
Ambos sexos;13 Madrid, Comunidad de;Total;2017T4;3.393,5
Ambos sexos;13 Madrid, Comunidad de;Total;2017T3;3.357,1
Ambos sexos;13 Madrid, Comunidad de;Total;2017T2;3.337,4
Ambos sexos;13 Madrid, Comunidad de;Total;2017T1;3.330,8
Ambos sexos;14 Murcia, Región de;Total;2019T4;729,2
Ambos sexos;14 Murcia, Región de;Total;2019T3;720,1
Ambos sexos;14 Murcia, Región de;Total;2019T2;718,0
Ambos sexos;14 Murcia, Región de;Total;2019T1;710,3
Ambos sexos;14 Murcia, Región de;Total;2018T4;718,3
Ambos sexos;14 Murcia, Región de;Total;2018T3;711,3
Ambos sexos;14 Murcia, Región de;Total;2018T2;712,1
Ambos sexos;14 Murcia, Región de;Total;2018T1;704,3
Ambos sexos;14 Murcia, Región de;Total;2017T4;708,3
Ambos sexos;14 Murcia, Región de;Total;2017T3;711,3
Ambos sexos;14 Murcia, Región de;Total;2017T2;709,9
Ambos sexos;14 Murcia, Región de;Total;2017T1;707,7
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2019T4;316,2
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2019T3;316,3
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2019T2;317,8
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2019T1;309,0
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2018T4;316,5
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2018T3;314,1
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2018T2;315,3
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2018T1;308,7
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2017T4;310,1
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2017T3;311,9
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2017T2;312,7
Ambos sexos;15 Navarra, Comunidad Foral de;Total;2017T1;307,6
Ambos sexos;16 País Vasco;Total;2019T4;1.026,6
Ambos sexos;16 País Vasco;Total;2019T3;1.025,0
Ambos sexos;16 País Vasco;Total;2019T2;1.034,5
Ambos sexos;16 País Vasco;Total;2019T1;1.035,6
Ambos sexos;16 País Vasco;Total;2018T4;1.029,3
Ambos sexos;16 País Vasco;Total;2018T3;1.017,4
Ambos sexos;16 País Vasco;Total;2018T2;1.033,3
Ambos sexos;16 País Vasco;Total;2018T1;1.023,5
Ambos sexos;16 País Vasco;Total;2017T4;1.024,2
Ambos sexos;16 País Vasco;Total;2017T3;1.023,5
Ambos sexos;16 País Vasco;Total;2017T2;1.017,6
Ambos sexos;16 País Vasco;Total;2017T1;1.014,8
Ambos sexos;17 Rioja, La;Total;2019T4;156,1
Ambos sexos;17 Rioja, La;Total;2019T3;155,2
Ambos sexos;17 Rioja, La;Total;2019T2;157,8
Ambos sexos;17 Rioja, La;Total;2019T1;155,6
Ambos sexos;17 Rioja, La;Total;2018T4;154,8
Ambos sexos;17 Rioja, La;Total;2018T3;155,2
Ambos sexos;17 Rioja, La;Total;2018T2;154,6
Ambos sexos;17 Rioja, La;Total;2018T1;151,6
Ambos sexos;17 Rioja, La;Total;2017T4;152,9
Ambos sexos;17 Rioja, La;Total;2017T3;151,7
Ambos sexos;17 Rioja, La;Total;2017T2;152,2
Ambos sexos;17 Rioja, La;Total;2017T1;154,3
Ambos sexos;18 Ceuta;Total;2019T4;38,6
Ambos sexos;18 Ceuta;Total;2019T3;38,5
Ambos sexos;18 Ceuta;Total;2019T2;37,8
Ambos sexos;18 Ceuta;Total;2019T1;37,7
Ambos sexos;18 Ceuta;Total;2018T4;36,5
Ambos sexos;18 Ceuta;Total;2018T3;38,8
Ambos sexos;18 Ceuta;Total;2018T2;40,5
Ambos sexos;18 Ceuta;Total;2018T1;38,8
Ambos sexos;18 Ceuta;Total;2017T4;37,3
Ambos sexos;18 Ceuta;Total;2017T3;36,0
Ambos sexos;18 Ceuta;Total;2017T2;34,9
Ambos sexos;18 Ceuta;Total;2017T1;37,5
Ambos sexos;19 Melilla;Total;2019T4;36,7
Ambos sexos;19 Melilla;Total;2019T3;36,8
Ambos sexos;19 Melilla;Total;2019T2;38,9
Ambos sexos;19 Melilla;Total;2019T1;39,8
Ambos sexos;19 Melilla;Total;2018T4;39,0
Ambos sexos;19 Melilla;Total;2018T3;40,4
Ambos sexos;19 Melilla;Total;2018T2;40,0
Ambos sexos;19 Melilla;Total;2018T1;38,1
Ambos sexos;19 Melilla;Total;2017T4;38,0
Ambos sexos;19 Melilla;Total;2017T3;37,4
Ambos sexos;19 Melilla;Total;2017T2;37,4
Ambos sexos;19 Melilla;Total;2017T1;36,0
